x_pos,y_pos,z_pos,x_angle,y_angle,bullet_x,bullet_y,bullet_z,body_x,body_y,body_z
152.83,8.0,179.47,0.0,0.0,152.8329,7.886534,222.0082,1.2784198588633444e-06,-4.272308160579996e-06,-1.467424084466984e-07
172.66,7.98,126.69,11.64,-3.67,176.9726,7.893989,152.0182,1.5104383237485308e-06,-2.8326928713795496e-06,4.933302079734858e-06
195.95,8.0,258.87,0.0,0.0,196.5008,7.848679,301.4044,-8.475203117086494e-07,-2.5629881292843493e-06,5.3360867724450145e-08
78.86,7.97,238.73,344.8,-1.49,70.12071,7.943738,271.1288,1.105302658288565e-06,-4.297394752938999e-06,-7.27327687854995e-06
219.21,8.0,141.39,0.0,0.0,219.3229,7.885459,183.9302,-8.166667271325423e-07,-5.188093837205088e-06,5.025059977015189e-07
156.61,7.98,17.72,344.7,0.87,144.2098,7.867267,64.21339,-3.4367719763395144e-06,2.5346406573589775e-07,8.537735425306892e-07
190.7,8.0,244.95,0.0,0.0,190.813,7.916367,287.4914,-1.709213847789215e-06,4.168814200511406e-07,-1.6008246461751696e-07
187.12,8.0,24.58,0.0,0.0,187.1532,7.919689,67.12166,8.487708669235872e-07,8.604435492998164e-07,-8.004125362504055e-08
92.66,7.98,194.12,14.1,-1.41,101.1879,7.877327,227.7312,-3.3238679861824494e-06,-9.964798664441332e-06,2.068804178634309e-06
95.33,8.0,22.17,0.0,0.0,95.93442,7.890241,64.70753,-7.1821227720647585e-06,-6.994998784648487e-07,-4.2592365190330383e-08
88.85,8.0,139.89,0.0,0.0,88.88358,7.900253,182.4276,-1.9201572740712436e-06,-1.4966053640819155e-06,6.003099173312876e-08
79.73,7.99,236.43,358.4,-1.77,78.77454,7.933114,268.8606,-8.13061706139706e-06,-6.851137641206151e-06,-4.442870960019718e-08
34.05,8.0,81.2,0.0,0.0,33.77533,7.948189,123.7407,1.6675425484891093e-09,-3.397585487618926e-06,-5.336085564522364e-07
103.58,7.99,196.19,10.25,-3.23,107.7377,7.827708,222.6771,1.3263505024951883e-05,-1.6485166270285845e-05,-3.975384970544837e-06
257.74,8.0,79.33,0.0,0.0,257.575,7.843264,122.9921,-8.387659704567341e-07,-2.574661493781605e-06,-2.668041076958616e-08
128.19,7.99,26.03,17.55,-2.28,137.1142,7.920902,54.86738,-1.0278630725224502e-05,-1.8396145605947822e-05,5.656249413732439e-06
283.91,8.0,256.41,0.0,0.0,283.7533,7.885604,298.9463,2.9950833777547814e-06,-5.962725026620319e-06,-3.7324392110349436e-07
191.84,7.97,192.5,342.11,2.64,172.6292,7.912623,250.9148,1.194553442473989e-05,1.8137148799723946e-05,2.5275103325839154e-06
130.41,8.0,228.64,0.0,0.0,130.0749,7.848896,271.1787,8.604436629866541e-07,-7.256658591359155e-06,-8.671143092442435e-08
40.21,7.98,24.56,17.63,-0.71,51.75543,7.955078,60.81166,2.517964958315133e-06,-6.080469393054955e-05,5.869680421710655e-07
51.62,8.0,205.61,359.51,0.12,51.58328,7.919234,248.1465,-1.0684406106520328e-06,2.5498511604382657e-06,1.937846150212863e-07
167.71,8.0,191.95,356.94,3.08,164.1639,7.842509,257.8225,4.18580475525232e-06,-1.589806197443977e-05,2.579173212780006e-07
243.41,8.0,66.85,0.0,0.0,243.7122,7.961539,108.2691,7.132660471143026e-07,-2.688297627173597e-06,4.1700178599057836e-07
180.98,7.99,217.52,327.44,-4.02,168.5075,7.949243,237.3001,3.420522261876613e-05,1.4144332453724928e-05,1.1871778042404912e-05
54.84,8.0,190.07,2.18,0.44,54.9477,7.9243,232.6121,-2.100318283737579e-07,-1.4945588873160887e-06,3.2126315829827945e-08
71.32,7.99,135.49,52.48,-1.28,98.63029,7.937293,156.6722,-3.4475371649023145e-05,6.1898572312202305e-06,4.263228220224846e-06
